duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,processing,genre,chord_type,Colore_encoded
2.0051,30,0.753,0.458,-12.87,0.0348,0.274,0.0,0.241,0.968,120.706,3.0,231.0,0.7573891625615764,mandopop,A#+,2
4.0164,65,0.46,0.816,-6.576,0.0427,0.00144,0.0,0.11,0.373,143.892,3.0,550.0,1.7389162561576357,spanish,D#+,17
3.182933333333333,32,0.284,0.961,-19.18,0.0958,0.217,0.874,0.448,0.0307,66.91,3.0,214.0,0.7481162540365985,sleep,B-,8
5.15175,23,0.422,0.847,-5.601,0.0565,0.0029,0.174,0.102,0.268,113.363,3.0,533.0,4.067085953878407,black-metal,G,30
3.74095,51,0.565,0.291,-15.968,0.044,0.506,0.0045,0.121,0.195,83.017,3.0,308.0,2.36741214057508,indian,C#+,11
3.959766666666667,0,0.27,0.963,-4.584,0.117,0.00678,0.0209,0.0828,0.186,94.832,3.0,409.0,1.1709531013615733,industrial,F#-,27
3.15,30,0.687,0.929,-3.794,0.173,0.0173,0.0,0.715,0.628,141.02,3.0,436.0,4.067085953878407,happy,G,30
2.9091,49,0.691,0.688,-6.261,0.031,0.364,0.0,0.783,0.77,131.93,3.0,383.0,3.70048309178744,forro,D+,19
3.8583666666666665,59,0.383,0.635,-6.331,0.095,0.496,0.0,0.0715,0.4,95.112,3.0,404.0,2.36741214057508,indian,C#+,11
4.12155,23,0.441,0.99,-2.857,0.207,0.251,0.698,0.63,0.21,186.82,3.0,760.0,0.916010498687664,happy,E+,22
5.343333333333334,3,0.497,0.939,-5.595,0.0635,2.04e-06,0.967,0.3,0.327,120.04,3.0,633.0,2.36741214057508,black-metal,C#+,11
2.2677666666666667,27,0.603,0.531,-12.271,0.0295,0.532,0.00654,0.257,0.886,137.667,3.0,300.0,0.7573891625615764,bluegrass,A#+,2
2.7586666666666666,25,0.673,0.994,-3.358,0.0845,0.00999,0.000506,0.153,0.46,142.039,3.0,386.0,2.7259036144578315,industrial,G#,31
3.3413333333333335,69,0.427,0.843,-4.54,0.0364,0.00216,0.0,0.179,0.304,147.387,2.0,476.0,0.916010498687664,black-metal,E+,22
2.02865,29,0.844,0.42,-14.705,0.161,0.392,0.0,0.0613,0.832,102.049,3.0,204.0,3.70048309178744,disney,D,15
2.81585,48,0.749,0.409,-9.263,0.0395,0.13,0.00222,0.152,0.486,122.979,3.0,338.0,1.343558282208589,study,A,0
4.922433333333333,59,0.454,0.673,-5.747,0.0332,0.462,0.0,0.0752,0.376,143.887,3.0,692.0,3.349056603773585,mandopop,C+,13
4.062783333333333,25,0.59,0.996,-0.21,0.0721,0.0994,0.0,0.911,0.703,94.016,3.0,373.0,4.067085953878407,happy,G,30
5.91665,20,0.439,0.977,-3.437,0.135,0.0135,0.0737,0.542,0.456,87.984,3.0,511.0,0.7573891625615764,idm,A#-,3
4.99615,2,0.392,0.734,-4.673,0.0356,0.0131,0.0113,0.228,0.0888,147.591,3.0,713.0,4.067085953878407,iranian,G,30
4.84955,77,0.629,0.703,-4.875,0.0504,0.519,0.0,0.11,0.402,144.016,3.0,693.0,3.70048309178744,spanish,D+,19
2.3362166666666666,0,0.258,0.22,-18.02,0.0535,0.947,0.922,0.107,0.0495,67.059,4.0,156.0,3.70048309178744,iranian,D+,19
5.316883333333333,28,0.507,0.559,-12.794,0.284,0.707,0.000853,0.326,0.366,132.499,2.0,617.0,2.7259036144578315,spanish,G#+,32
2.004,36,0.568,0.717,-4.234,0.0548,0.00305,0.819,0.0742,0.44,171.988,3.0,340.0,3.70048309178744,industrial,D-,20
4.8291,23,0.552,0.749,-3.841,0.0431,0.00104,0.0,0.317,0.289,151.93,3.0,717.0,4.067085953878407,j-idol,G-,35
2.683333333333333,51,0.754,0.553,-8.757,0.0491,0.168,0.0,0.149,0.619,148.025,3.0,387.0,0.7481162540365985,brazil,B-,8
5.908,15,0.46,0.976,-4.171,0.0529,0.000488,0.876,0.07,0.278,174.993,3.0,1024.0,1.1709531013615733,idm,F#+,26
2.9126666666666665,0,0.614,0.934,-3.709,0.07,0.0697,0.0,0.121,0.436,116.001,3.0,328.0,1.343558282208589,breakbeat,A-,5
6.773333333333333,47,0.556,0.515,-13.122,0.0268,0.0758,0.000702,0.217,0.527,97.143,3.0,650.0,3.70048309178744,brazil,D,15
6.171316666666667,10,0.091,0.0731,-23.072,0.0452,0.908,0.926,0.0619,0.0337,88.003,3.0,529.0,4.067085953878407,iranian,G-,35
3.7408333333333332,0,0.375,0.997,-3.713,0.343,0.124,0.0143,0.177,0.0341,120.038,3.0,446.0,2.36741214057508,iranian,C#,10
4.457633333333333,0,0.394,0.931,-4.507,0.14,0.00547,0.388,0.22,0.224,139.718,3.0,607.0,3.70048309178744,iranian,D+,19
4.696666666666666,27,0.48,0.983,-3.809,0.105,0.00222,0.00385,0.0706,0.292,143.07,3.0,664.0,4.067085953878407,spanish,G,30
3.1645333333333334,35,0.659,0.691,-3.646,0.0316,0.146,0.0,0.0762,0.56,100.597,2.0,309.0,2.36741214057508,j-dance,C#,10
3.117783333333333,41,0.813,0.793,-1.85,0.132,0.478,0.0,0.107,0.953,168.01,3.0,521.0,1.2793053545586106,forro,F,24
3.4,2,0.379,0.932,-6.91,0.0516,0.000211,2.62e-06,0.162,0.192,180.056,3.0,594.0,4.067085953878407,iranian,G+,34
3.1571166666666666,14,0.761,0.874,-3.525,0.0372,0.197,0.0,0.383,0.934,123.956,3.0,389.0,1.343558282208589,forro,A-,5
3.25895,24,0.775,0.959,-1.91,0.0456,0.0719,0.000268,0.0343,0.734,115.053,3.0,368.0,2.36741214057508,j-dance,C#-,12
2.6061666666666667,9,0.719,0.926,-2.471,0.0317,0.36,3.29e-06,0.0848,0.935,153.969,3.0,398.0,2.36741214057508,forro,C#-,12
6.722883333333334,21,0.265,0.755,-7.897,0.0374,3.67e-06,0.768,0.372,0.176,120.85,3.0,710.0,0.7481162540365985,black-metal,B-,8
4.975766666666667,46,0.448,0.399,-8.303,0.0313,0.579,0.0,0.0762,0.12,73.959,3.0,357.0,1.1709531013615733,afrobeat,F#-,27
0.9284333333333333,26,0.295,0.079,-22.973,0.0559,0.882,0.33,0.103,0.19,57.715,3.0,54.0,3.349056603773585,disney,C+,13
6.358666666666666,0,0.7,0.746,-12.348,0.0439,0.34,0.00831,0.342,0.689,100.996,3.0,632.0,0.7481162540365985,idm,B-,8
3.07355,25,0.644,0.653,-4.07,0.423,0.614,0.0,0.0654,0.735,127.683,2.0,388.0,2.36741214057508,j-dance,C#+,11
2.3271,46,0.694,0.872,-3.224,0.0448,0.162,0.0,0.32,0.967,185.869,3.0,432.0,2.36741214057508,forro,C#,10
3.4766666666666666,24,0.721,0.869,-2.75,0.0373,0.00291,1.66e-05,0.079,0.858,135.035,3.0,462.0,4.067085953878407,happy,G+,34
3.7804333333333333,18,0.281,0.972,-7.415,0.115,1.47e-05,0.0269,0.0676,0.0554,124.823,3.0,465.0,1.1709531013615733,black-metal,F#-,27
3.3962166666666667,0,0.773,0.917,-2.166,0.0629,0.0946,0.000106,0.0885,0.763,105.964,3.0,356.0,0.7573891625615764,spanish,A#-,3
3.74955,22,0.471,0.482,-9.671,0.0274,0.814,3.39e-05,0.136,0.482,147.971,3.0,547.0,3.70048309178744,bluegrass,D+,19
5.286,51,0.394,0.834,-6.658,0.0632,0.142,0.00107,0.919,0.834,147.975,3.0,779.0,0.7481162540365985,brazil,B+,7
2.55,53,0.646,0.33,-14.582,0.0339,0.75,0.000384,0.123,0.499,84.995,3.0,212.0,3.349056603773585,indian,C,9
2.50435,47,0.559,0.425,-11.083,0.0438,0.84,0.00115,0.0972,0.29,161.89,3.0,386.0,1.343558282208589,indian,A+,4
5.041766666666667,17,0.508,0.882,-4.505,0.121,0.0351,0.00264,0.178,0.842,170.223,3.0,799.0,1.2793053545586106,afrobeat,F,24
3.3833333333333333,26,0.868,0.367,-13.304,0.039,0.303,0.0066,0.0895,0.522,130.038,3.0,432.0,1.2793053545586106,afrobeat,F-,29
2.7205833333333334,55,0.712,0.347,-10.363,0.041,0.378,0.0212,0.111,0.5,135.975,3.0,367.0,3.349056603773585,sleep,C-,14
3.626,0,0.721,0.661,-3.298,0.0346,0.0815,4.43e-06,0.0783,0.752,117.051,3.0,411.0,1.343558282208589,breakbeat,A-,5
2.38,21,0.258,0.923,-8.002,0.045,0.0008,0.243,0.771,0.578,132.494,3.0,310.0,0.7481162540365985,black-metal,B,6
3.3345166666666666,1,0.501,0.989,-1.62,0.11,0.000715,2.81e-06,0.2,0.113,90.019,3.0,294.0,3.70048309178744,iranian,D+,19
3.3,18,0.547,0.809,-8.466,0.0404,1.22e-06,0.828,0.228,0.206,115.104,3.0,374.0,0.7481162540365985,black-metal,B,6
3.0271833333333333,46,0.475,0.585,-7.804,0.0705,0.758,3.44e-05,0.319,0.376,106.722,4.0,300.0,0.7573891625615764,brazil,A#-,3
3.858216666666667,18,0.63,0.363,-7.949,0.029,0.678,0.00081,0.104,0.63,108.655,3.0,410.0,1.343558282208589,bluegrass,A+,4
